team,opponent,wins,losses
linymf,failedtomakeateamname_2jpg,0,32
linymf,rest-in-pepperonis,20,43
linymf,the-ladder-dwellers,36,39
linymf,sudo-team,51,36
linymf,one-man-down,5,31
linymf,ratchet-rockers,13,45
linymf,420_cultivate_it,7,48
linymf,farally,21,49
linymf,lumate,50,32
linymf,we-came-for-the-food,0,31
linymf,the-ancients-are-at-mac-ten-spittin,2,46
linymf,mendelian-nightmare,0,41
linymf,teem-bahd-spelers,0,28
linymf,little-team-of-horrors,23,48
linymf,farm-simulator-2014,0,29
linymf,cognitive-play,0,37
linymf,team-gen-knoxx,62,11
linymf,petey-piranha,3,40
linymf,oversized-grow-lamp,0,22
linymf,we-came-for-the-shirts,0,49
linymf,the-square-roots,0,29
linymf,7-liters-of-darkness,2,34
linymf,the-casuals,67,16
linymf,tbredblacktree,12,49
linymf,the-deku-scrubs,0,21
teem-bahd-spelers,noobcoder,19,0
teem-bahd-spelers,kingdom-of-afternoon-naps,33,0
teem-bahd-spelers,the-mad-robotanists,53,82
teem-bahd-spelers,chios,37,0
teem-bahd-spelers,wut,31,0
teem-bahd-spelers,420_cultivate_it,27,0
teem-bahd-spelers,binary-tree-stars,51,0
teem-bahd-spelers,nausicaa,77,8
teem-bahd-spelers,we-came-for-the-food,46,54
teem-bahd-spelers,the-goldman-clause,0,101
teem-bahd-spelers,something-fun,68,0
teem-bahd-spelers,needs-review,44,57
teem-bahd-spelers,the-bagelers,58,3
teem-bahd-spelers,the-casuals,10,0
teem-bahd-spelers,nurv,33,0
teem-bahd-spelers,linymf,28,0
teem-bahd-spelers,paper-pumpkin-posse,115,24
teem-bahd-spelers,bojibbles,27,0
teem-bahd-spelers,u-w0t-m8,73,0
teem-bahd-spelers,the-great-dequeue-tree,28,0
teem-bahd-spelers,failedtomakeateamname_2jpg,88,0
teem-bahd-spelers,rest-in-pepperonis,24,0
teem-bahd-spelers,oversized-grow-lamp,36,88
teem-bahd-spelers,the-ladder-dwellers,23,0
teem-bahd-spelers,sudo-team,25,0
teem-bahd-spelers,one-man-down,51,0
teem-bahd-spelers,ratchet-rockers,53,0
teem-bahd-spelers,gg-no-re,16,0
teem-bahd-spelers,farally,18,1
